ID,0
Time,2026-Mar-08 23:38:37
API Call ID,609
Estimated Speedup [%],43.03
Runtime Improvement [ms],1.57
Issues Detected [issue],7
Function Name,matmul_naive
Mangled Name,_Z12matmul_naivePfS_S_iii
Demangled Name,matmul_naive(float..
Original Demangled Name,"matmul_naive(float *, float *, float *, int, int, int)"
Process,[3212] D:\Matrix Multiplication\New folder\matmul_naive.exe
Thread ID [thread],3108
Device Name,NVIDIA GeForce RTX 4050 Laptop GPU
CUprogram,0x183c17c77f0
CUfunction,0x183c1699de0
Grid Offset,"    0,    0,    0"
Grid Size,"   64,   64,    1"
Block Size [block],"   16,   16,    1"
Grid Dimensions,3
Result Type,Kernel: SIMT
gpc__cycles_elapsed.max [cycle],"68,38,625"
gpu__time_duration.sum [ms],3.66
sm__throughput.avg.pct_of_peak_sustained_elapsed [%],98.36
gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed [%],98.36
FBSP.TriageSCG.dramc__read_throughput.avg.pct_of_peak_sustained_elapsed [%],{2040}
FBSP.TriageSCG.dramc__throughput.avg.pct_of_peak_sustained_elapsed [%],{2040}
FBSP.TriageSCG.dramc__write_throughput.avg.pct_of_peak_sustained_elapsed [%],{2040}
FE_B.TriageAC.gr__ctas_launched_queue_sync.avg [block],"4,096 {2066}"
FE_B.TriageAC.gr__ctas_launched_queue_sync.sum.per_cycle_elapsed [block/cycle],1.20 {2040}
LTS.TriageSCG.lts__average_t_sector_hit_rate_realtime.pct [%],{2026}
LTS.TriageSCG.lts__throughput.avg.pct_of_peak_sustained_elapsed [%],{2026}
SM_A.TriageAC.l1tex__data_pipe_lsu_wavefronts.avg,"50,43,432.20 {2026}"
SM_A.TriageAC.l1tex__lsu_writeback_active.avg [cycle],"33,98,329.55 {2026}"
SM_A.TriageAC.sm__cycles_active.avg.per_cycle_elapsed,"1,817.24 {2040}"
SM_A.TriageAC.sm__inst_executed_realtime.avg.per_cycle_active [inst/cycle],"2,092.41 {2040}"
SM_A.TriageAC.sm__inst_executed_realtime.avg.per_cycle_elapsed [inst/cycle],"2,088.92 {2040}"
SM_A.TriageSCG.l1tex__throughput.avg.pct_of_peak_sustained_elapsed [%],{2026}
SM_A.TriageSCG.sm__inst_executed_pipe_alu_realtime.avg.pct_of_peak_sustained_elapsed [%],4.36 {2040}
SM_B.TriageAC.l1tex__t_sector_hit_rate.pct [%],{2026}
SM_C.TriageSCG.smsp__inst_executed_pipe_fmaheavy.avg.pct_of_peak_sustained_elapsed [%],12.70 {2040}
SM_C.TriageSCG.smsp__inst_executed_pipe_fmalite.avg.pct_of_peak_sustained_elapsed [%],9.98 {2040}
TriageAC.tpc__warps_active_realtime.avg.per_cycle_elapsed [warp],"86,119.04 {2040}"
TriageAC.tpc__warps_active_realtime.sum.per_cycle_elapsed [warp],"17,22,380.76 {2040}"
