ID,0
Time,2026-Mar-08 23:54:49
API Call ID,609
Estimated Speedup [%],3.30
Runtime Improvement [ms],0.09
Issues Detected [issue],6
Function Name,matmul_tiled
Mangled Name,_Z12matmul_tiledPfS_S_iii
Demangled Name,matmul_tiled(float..
Original Demangled Name,"matmul_tiled(float *, float *, float *, int, int, int)"
Process,[9428] D:\Matrix Multiplication\New folder\matmul_tiled.exe
Thread ID [thread],27132
Device Name,NVIDIA GeForce RTX 4050 Laptop GPU
CUprogram,0x28844bb0150
CUfunction,0x28844a88740
Grid Offset,"    0,    0,    0"
Grid Size,"   64,   64,    1"
Block Size [block],"   16,   16,    1"
Grid Dimensions,3
Result Type,Kernel: SIMT
gpc__cycles_elapsed.max [cycle],"52,15,959"
gpu__time_duration.sum [ms],2.78
sm__throughput.avg.pct_of_peak_sustained_elapsed [%],96.70
gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed [%],96.70
FBSP.TriageSCG.dramc__read_throughput.avg.pct_of_peak_sustained_elapsed [%],{1584}
FBSP.TriageSCG.dramc__throughput.avg.pct_of_peak_sustained_elapsed [%],{1584}
FBSP.TriageSCG.dramc__write_throughput.avg.pct_of_peak_sustained_elapsed [%],{1584}
FE_B.TriageAC.gr__ctas_launched_queue_sync.avg [block],"4,096 {1624}"
FE_B.TriageAC.gr__ctas_launched_queue_sync.sum.per_cycle_elapsed [block/cycle],1.20 {1584}
LTS.TriageSCG.lts__average_t_sector_hit_rate_realtime.pct [%],{1616}
LTS.TriageSCG.lts__throughput.avg.pct_of_peak_sustained_elapsed [%],{1616}
SM_A.TriageAC.l1tex__data_pipe_lsu_wavefronts.avg,"32,31,972.30 {1616}"
SM_A.TriageAC.l1tex__lsu_writeback_active.avg [cycle],"27,40,477.95 {1616}"
SM_A.TriageAC.sm__cycles_active.avg.per_cycle_elapsed,"1,388.19 {1584}"
SM_A.TriageAC.sm__inst_executed_realtime.avg.per_cycle_active [inst/cycle],"1,724.46 {1584}"
SM_A.TriageAC.sm__inst_executed_realtime.avg.per_cycle_elapsed [inst/cycle],"1,722.27 {1584}"
SM_A.TriageSCG.l1tex__throughput.avg.pct_of_peak_sustained_elapsed [%],{1616}
SM_A.TriageSCG.sm__inst_executed_pipe_alu_realtime.avg.pct_of_peak_sustained_elapsed [%],11.71 {1584}
SM_B.TriageAC.l1tex__t_sector_hit_rate.pct [%],{1616}
SM_C.TriageSCG.smsp__inst_executed_pipe_fmaheavy.avg.pct_of_peak_sustained_elapsed [%],4.92 {1584}
SM_C.TriageSCG.smsp__inst_executed_pipe_fmalite.avg.pct_of_peak_sustained_elapsed [%],12.87 {1584}
TriageAC.tpc__warps_active_realtime.avg.per_cycle_elapsed [warp],"65,820.72 {1584}"
TriageAC.tpc__warps_active_realtime.sum.per_cycle_elapsed [warp],"13,16,414.34 {1584}"
